framework,example,triple_f1,property_f1,individual_f1,fuzzy_avg_score,fuzzy_matched_pairs,ast_overall_f1,ast_decorator_args_f1,ast_state_fields_f1,exec_ok_match,exec_stdout_overlap,exec_ref_error,exec_cand_error,mapping_overall,errors
crewai,academic-research-flow,0.8310991957104557,0.9615384615384615,0.9662921348314608,0.993,27,0.742,0.0,1.0,,,,,,
crewai,code-review,0.8711340206185567,0.9885057471264368,1.0,0.991,33,0.873,1.0,1.0,,,,,,
crewai,comprehensive,0.8143712574850299,0.8952380952380952,0.9500000000000001,0.989,26,0.794,0.8,1.0,,,,,,
crewai,content-pipeline,0.8653295128939829,0.9879518072289156,1.0,0.991,27,0.886,1.0,1.0,,,,,,
crewai,email-flow,0.8793565683646112,0.9885057471264368,1.0,0.989,29,0.789,0.667,1.0,,,,,,
crewai,self-eval-loop-flow,0.8571428571428571,1.0,1.0,0.993,28,0.924,1.0,1.0,,,,,,
crewai,tech-blog,0.8642857142857143,1.0,1.0,0.983,20,0.972,1.0,1.0,,,,,,
langgraph,ReAct,0.6923076923076923,0.9714285714285714,0.9523809523809523,1.0,15,0.696,1.0,1.0,,,,,,
langgraph,drafter,0.13333333333333333,0.2631578947368421,0.2857142857142857,0.861,3,0.344,1.0,0.0,,,,,,
langgraph,memoryagent,0.7042253521126761,0.9655172413793104,1.0,0.976,13,0.749,1.0,1.0,,,,,,
langgraph,ragagent,0.7679324894514766,0.9736842105263158,0.9811320754716981,0.982,21,0.591,1.0,1.0,,,,,,
langgraph,research-assistant,0.7874015748031495,1.0,1.0,0.99,22,0.581,1.0,1.0,,,,,,
langgraph,tech-blog,0.8070175438596492,0.96875,0.9508196721311475,0.986,24,0.701,1.0,1.0,,,,,,
autogen,code-review,0.8110599078341014,0.9824561403508771,0.9803921568627451,0.985,21,0.992,1.0,1.0,,,,,,
autogen,comprehensive,0.5471698113207547,0.8928571428571429,0.8571428571428572,0.963,14,0.87,1.0,1.0,,,,,,
autogen,content-pipeline,0.8209606986899564,0.9824561403508771,0.9811320754716981,0.989,22,0.986,1.0,1.0,,,,,,
autogen,data-analysis-0.4,0.7747747747747747,1.0,0.9811320754716981,0.991,22,0.97,1.0,1.0,,,,,,
autogen,tech-blog,0.7661691542288558,0.9803921568627451,0.9583333333333334,0.983,20,0.989,1.0,1.0,,,,,,
